week_end_date,geo_country,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
29-Apr-23,usa,2.40%,34.80%,18,58.10%,-22.00%,-2.60%,40.20%,1.10%
22-Apr-23,usa,2.40%,38.70%,17,54.80%,-21.20%,-2.60%,61.30%,1.50%
15-Apr-23,usa,2.50%,49.10%,16,48.50%,-4.80%,-1.00%,79.40%,1.60%
8-Apr-23,usa,3.20%,44.10%,19,59.40%,-31.50%,-3.80%,62.10%,1.30%
1-Apr-23,usa,4.90%,51.60%,18,52.90%,-22.10%,-2.90%,88.70%,1.70%
25-Mar-23,usa,6.30%,56.00%,18,52.90%,-20.20%,-2.60%,105.40%,1.90%
18-Mar-23,usa,6.30%,57.70%,18,51.40%,-20.10%,-2.70%,112.00%,1.90%
11-Mar-23,usa,6.30%,60.40%,18,50.00%,-17.50%,-2.50%,123.90%,2.10%
4-Mar-23,usa,6.30%,60.20%,18,46.20%,-26.10%,-3.60%,129.50%,2.20%
25-Feb-23,usa,7.20%,66.00%,20,50.00%,-15.60%,-2.30%,145.50%,2.10%
18-Feb-23,usa,6.70%,66.30%,24,57.10%,-17.60%,-2.50%,148.50%,2.20%
11-Feb-23,usa,8.90%,68.00%,22,47.80%,-15.20%,-2.40%,154.20%,2.30%
4-Feb-23,usa,8.10%,68.30%,18,32.70%,-15.20%,-2.30%,170.00%,2.60%
28-Jan-23,usa,9.10%,68.80%,16,27.60%,-12.70%,-2.00%,157.20%,2.50%
21-Jan-23,usa,8.60%,67.50%,13,21.30%,-9.60%,-1.70%,166.40%,2.70%
14-Jan-23,usa,8.70%,64.40%,13,21.30%,-12.10%,-1.90%,163.40%,2.90%
7-Jan-23,usa,8.70%,62.30%,11,17.50%,-17.30%,-2.00%,141.80%,2.80%
31-Dec-22,usa,9.70%,65.60%,10,15.40%,-29.00%,-1.80%,91.60%,1.10%
24-Dec-22,usa,10.30%,61.20%,11,18.30%,-7.70%,-0.70%,105.50%,1.10%
17-Dec-22,usa,9.90%,56.30%,9,15.80%,-19.10%,-1.60%,103.70%,1.90%
10-Dec-22,usa,10.60%,53.70%,10,18.50%,-18.90%,-1.60%,118.40%,2.50%
3-Dec-22,usa,10.80%,51.10%,9,16.70%,-20.20%,-1.70%,120.60%,3.20%
26-Nov-22,usa,12.20%,52.50%,8,15.40%,-19.30%,-1.10%,94.20%,1.50%
19-Nov-22,usa,11.30%,48.20%,8,16.30%,-19.90%,-1.70%,114.30%,3.10%
12-Nov-22,usa,11.30%,44.80%,7,14.90%,-20.80%,-1.70%,102.30%,3.00%
5-Nov-22,usa,11.90%,41.90%,7,14.90%,-21.00%,-1.80%,104.40%,3.30%
29-Oct-22,usa,12.00%,40.00%,5,10.60%,-15.10%,-1.30%,98.10%,3.10%
22-Oct-22,usa,13.20%,35.70%,8,18.20%,-16.00%,-1.30%,98.50%,3.30%
15-Oct-22,usa,13.30%,33.10%,7,15.90%,-14.80%,-1.20%,90.00%,3.10%
8-Oct-22,usa,13.30%,31.00%,7,15.90%,-15.90%,-1.30%,85.90%,3.10%
